[IMATEC] ¿Una potencia física de 0 dBm equivale exactamente a 1 mW?	<b>Verdadero (V)</b><br><br><i>Verdadero. 10 * log10(1 mW / 1 mW) = 0 dBm.</i>
[TEM] ¿El 'Runway' representa el número de meses que una startup puede continuar operando antes de agotar su saldo de tesorería disponible al ritmo actual de gasto neto (Burn Rate)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Runway = Caja / Net Burn Rate mensual.</i>
[TEM] ¿El Business Model Canvas (BMC) de Osterwalder desglosa el modelo de negocio en 9 bloques estratégicos interconectados en un único lienzo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Propuesta de valor, segmentos de clientes, canales, ingresos, estructura de costes, recursos clave, etc.</i>
[TEM] Un pivotaje (pivot) en una startup consiste en liquidar la empresa y despedir al equipo directivo.	<b>Falso (F)</b><br><br><i>Falso. Pivotar es una corrección estructurada diseñada para probar una nueva hipótesis fundamental sobre el producto o modelo de negocio manteniendo la visión.</i>
[TEM] ¿El encaje problema-solución (Problem-Solution Fit) se confirma cuando se demuestra empíricamente que los clientes potenciales tienen un problema real y la propuesta de valor lo resuelve efectivamente?	<b>Verdadero (V)</b><br><br><i>Verdadero. Precede al Product-Market Fit (escalabilidad en el mercado).</i>
[TEM] ¿El Churn Rate mide el porcentaje de clientes o suscriptores que se dan de baja o abandonan el servicio durante un periodo temporal dado?	<b>Verdadero (V)</b><br><br><i>Verdadero. Clave para calcular el ciclo de vida y la retención en modelos de ingresos recurrentes (SaaS).</i>
[TEM] ¿El pacto de socios regula los acuerdos y derechos entre fundadores e inversores antes de la entrada de capital de riesgo (cláusulas de vesting, drag-along y tag-along)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Previene conflictos societarios graves y garantiza el compromiso a largo plazo.</i>
[TEM] Un inversor Business Angel solo invierte en empresas multinacionales consolidadas que cotizan en bolsa.	<b>Falso (F)</b><br><br><i>Falso. Los Business Angels son inversores particulares que aportan capital semilla, contactos y mentoría a startups en etapas muy tempranas (pre-seed y seed).</i>
[TEM] ¿El 'Product-Market Fit' (PMF) se alcanza cuando un producto satisface plenamente una fuerte demanda en un mercado con gran potencial de tracción orgánica?	<b>Verdadero (V)</b><br><br><i>Verdadero. Momento a partir del cual se justifica acelerar la inversión en marketing y ventas.</i>
[TEM] ¿El proceso de Customer Development de Steve Blank propone 'salir del edificio' para verificar hipótesis directamente con clientes reales antes de escribir código definitivo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Evita construir productos que nadie necesita o está dispuesto a pagar.</i>
[DMIC] ¿La disipación de potencia dinámica de conmutación en una puerta CMOS depende cuadráticamente de la tensión de alimentación Vdd (P = alpha * C * Vdd^2 * f)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Razón fundamental por la cual la reducción de Vdd es el mecanismo más eficaz de ahorro de energía.</i>
[DMIC] ¿El dimensionado simétrico habitual Wp / Wn suele fijarse entre 2 y 2.5 en silicio debido a que la movilidad de los electrones mu_n es mayor que la de los huecos mu_p?	<b>Verdadero (V)</b><br><br><i>Verdadero. Compensa la menor conductividad del canal p para equilibrar los tiempos de subida y bajada (tpLH = tpHL).</i>
[DMIC] En el estado estacionario de una puerta lógica CMOS estática con salida en nivel alto o bajo, existe una corriente continua de conducción directa considerable entre Vdd y tierra.	<b>Falso (F)</b><br><br><i>Falso. Uno de los dos transistores (red de pull-up o pull-down) está completamente en corte, reduciendo la corriente estática a mera fuga subumbral (leakage).</i>
[DMIC] ¿La verificación DRC (Design Rule Checking) comprueba que las geometrías dibujadas en el layout físico cumplan estrictamente las tolerancias dimensionales del proceso de fabricación (anchuras mínimas, separaciones)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Evita defectos mecánicos y cortocircuitos por litografía.</i>
[DMIC] ¿La verificación LVS (Layout Versus Schematic) garantiza que la red eléctrica extraída del layout coincide topologicalmente con el esquemático de diseño?	<b>Verdadero (V)</b><br><br><i>Verdadero. Comprueba conectividad, transistores, nodos y propiedades geométricas.</i>
[DMIC] La célula básica de memoria SRAM estática estándar está constituida por 1 transistor y 1 condensador de almacenamiento de carga.	<b>Falso (F)</b><br><br><i>Falso. Esa es la célula de DRAM (1T-1C) que requiere refresco periódico; la célula de SRAM estándar se compone de 6 transistores (6T) con dos inversores realimentados en lazo cerrado.</i>
[DMIC] ¿Una referencia de tensión de tipo Bandgap aprovecha la suma ponderada de una tensión con coeficiente de temperatura negativo (Vbe) y otra con coeficiente positivo (VT) para obtener una tensión constante independiente de la temperatura?	<b>Verdadero (V)</b><br><br><i>Verdadero. Proporciona típicamente una referencia extraordinariamente estable de approx 1.25 V.</i>
[DMIC] ¿La técnica de layout por 'centroide común' (common-centroid) e interdigitado minimiza las discrepancias de apareamiento (mismatch) causadas por gradientes térmicos y de proceso en el silicio?	<b>Verdadero (V)</b><br><br><i>Verdadero. Práctica imprescindible en diseño analógico de pares diferenciales y espejos de corriente.</i>
[DMIC] La corriente de fuga subumbral en transistores CMOS disminuye drásticamente a medida que se reduce la longitud del canal por debajo de los 45 nm.	<b>Falso (F)</b><br><br><i>Falso. Aumenta exponencialmente debido a los efectos de canal corto (DIBL, disminución de la barrera de potencial por el drenador).</i>
[DMIC] ¿El 'Latch-up' en circuitos integrados CMOS es un cortocircuito parásito de baja impedancia originado por la activación involuntaria de una estructura tiristor PNPN parásita?	<b>Verdadero (V)</b><br><br><i>Verdadero. Puede destruir el chip si no se previenen contactos de sustrato y pozos con anillos de guarda adecuados.</i>
[DMIC] ¿El método del esfuerzo lógico (Logical Effort) permite calcular y optimizar analíticamente el número de etapas y el dimensionado de inversores para minimizar el retardo de un camino combinacional?	<b>Verdadero (V)</b><br><br><i>Verdadero. Metodología de Sutherland-Sproull ampliamente utilizada en microelectrónica.</i>
[DMIC] ¿Los márgenes de ruido NMH y NML cuantifican la inmunidad del circuito frente a interferencias espurias superpuestas a las señales lógicas?	<b>Verdadero (V)</b><br><br><i>Verdadero. NMH = VOH - VIH y NML = VIL - VOL.</i>
[DMIC] ¿En la lógica dinámica dominó, la evaluación condicional de la función se realiza únicamente durante la fase activa tras una fase previa de precarga a Vdd?	<b>Verdadero (V)</b><br><br><i>Verdadero. Acelera la conmutación a costa de mayor sensibilidad a fugas y ruido en nodos flotantes.</i>
[HIPS] ¿El algoritmo CORDIC permite calcular funciones trigonométricas, hiperbólicas y de rotación vectorial utilizando exclusivamente desplazamientos de bits (shifts) y sumas sin requerir multiplicadores hardware?	<b>Verdadero (V)</b><br><br><i>Verdadero. Ideal para arquitecturas digitales compactas y eficientes en FPGAs y ASICs.</i>
[HIPS] ¿La arquitectura Harvard de un procesador DSP dispone de buses y espacios de memoria separados e independientes para instrucciones y datos, permitiendo accesos simultáneos en el mismo ciclo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Supera el cuello de botella de Von Neumann acelerando las instrucciones de Multiply-Accumulate (MAC).</i>
[HIPS] En el cálculo de la FFT mediante diezmado en el tiempo (DIT), las muestras de entrada deben ordenarse según la permutación de bits invertidos (bit-reversal).	<b>Verdadero (V)</b><br><br><i>Verdadero. Mapea la entrada para que la salida aparezca en orden natural de frecuencias.</i>
[HIPS] En aritmética de punto fijo con signo Q(1.15), un número puede representar valores mayores que +10.0.	<b>Falso (F)</b><br><br><i>Falso. El formato Q(1.15) tiene 1 bit de signo y 15 de fracción, representando números en el intervalo estricto [-1.0, +0.999969].</i>
[HIPS] ¿Una matriz sistólica es una red homogénea de celdas de procesamiento conectadas localmente que computan datos de forma rítmica y canalizada, muy eficiente para multiplicación de matrices y redes neuronales?	<b>Verdadero (V)</b><br><br><i>Verdadero. Maximiza la reutilización de datos sin saturar los buses globales.</i>
[HIPS] ¿El protocolo de bus en chip AMBA AXI4 soporta transferencias por ráfagas (burst transfers), canales independientes de lectura/escritura y transacciones fuera de orden (out-of-order)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Estándar dominante de interconexión de alta velocidad en SoCs modernos.</i>
[HIPS] El direccionamiento circular (buffer circular) en procesadores DSP requiere una verificación continua por software mediante instrucciones condicionales 'if' para reiniciar los punteros.	<b>Falso (F)</b><br><br><i>Falso. Se implementa de forma automática y transparente en el hardware de generación de direcciones (AGU) con coste cero de ciclos de CPU.</i>
[HIPS] ¿La arquitectura VLIW (Very Long Instruction Word) empaqueta múltiples operaciones independientes en una única palabra de instrucción muy ancha para ser ejecutadas en paralelo por múltiples unidades funcionales?	<b>Verdadero (V)</b><br><br><i>Verdadero. El compilador se encarga de planificar estáticamente el paralelismo a nivel de instrucción.</i>
[HIPS] ¿Un convertidor digital reductor DDC (Digital Down-Converter) traslada una señal de RF/IF muestreada a banda base compleja I/Q mediante un oscilador NCO, mezcladores y filtros diezmadores CIC/FIR?	<b>Verdadero (V)</b><br><br><i>Verdadero. Núcleo fundamental del procesamiento en receptores de Radio Definida por Software (SDR).</i>
[HIPS] Los filtros CIC (Cascaded Integrator-Comb) requieren multiplicadores de punto flotante de alta complejidad para cada etapa.	<b>Falso (F)</b><br><br><i>Falso. No emplean multiplicadores; solo utilizan integradores (acumuladores) y peines (diferenciadores) con operaciones de suma y resta de enteros.</i>
[HIPS] ¿El factor de escala asintótico K de CORDIC para rotaciones circulares converge aproximadamente a 1.64676?	<b>Verdadero (V)</b><br><br><i>Verdadero. Requiere una multiplicación final de compensación (o pre-escalado de la entrada por 1/K approx 0.60725).</i>
[HIPS] ¿Las instrucciones SIMD (Single Instruction, Multiple Data) permiten procesar simultáneamente múltiples canales o muestras empaquetadas en un único registro vectorial?	<b>Verdadero (V)</b><br><br><i>Verdadero. Acelera masivamente el tratamiento de audio, imagen y vídeo.</i>
[HIPS] ¿El desbordamiento en acumuladores hardware de DSP suele configurarse con aritmética de saturación para prevenir discontinuidades catastróficas de signo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Fija el valor al máximo o mínimo representable en lugar de envolver circularmente (wrap-around).</i>
[DIFO] ¿El espectro solar normalizado estándar utilizado para ensayar y certificar módulos fotovoltaicos terrestres es el AM1.5G con irradiancia de 1000 W/m^2 a 25 grados Celsius?	<b>Verdadero (V)</b><br><br><i>Verdadero. Masa de aire AM = 1 / cos(48.2) approx 1.5; 'G' indica Global (directa más difusa).</i>
[DIFO] ¿La corriente de cortocircuito (Isc) de una célula fotovoltaica es directamente proporcional a la irradiancia solar incidente G?	<b>Verdadero (V)</b><br><br><i>Verdadero. A mayor flujo de fotones con energía superior al bandgap, mayor generación de pares electrón-hueco.</i>
[DIFO] La tensión de circuito abierto (Voc) de una célula solar aumenta fuertemente al incrementarse la temperatura de la célula.	<b>Falso (F)</b><br><br><i>Falso. La tensión Voc disminuye con la temperatura (típicamente -2 mV/K en silicio) debido al aumento exponencial de la corriente de recombinación térmica inversa I0.</i>
[DIFO] ¿El factor de llenado (Fill Factor FF) cuantifica la cuadratura de la curva I-V y la calidad de la célula, situándose típicamente entre 0.75 y 0.85 en células comerciales de alta calidad?	<b>Verdadero (V)</b><br><br><i>Verdadero. FF = (Vmpp * Impp) / (Voc * Isc).</i>
[DIFO] ¿La resistencia serie parasitaria (Rs) degrada principalmente el factor de llenado a altas intensidades, mientras que una baja resistencia shunt (Rsh) provoca fugas de corriente a bajas tensiones?	<b>Verdadero (V)</b><br><br><i>Verdadero. Se busca minimizar Rs (contactos óhmicos óptimos) y maximizar Rsh (evitar defectos de recombinación periférica).</i>
[DIFO] El límite termodinámico teórico de Shockley-Queisser para una célula fotovoltaica de una única unión p-n bajo iluminación solar no concentrada es de aproximadamente el 85%.	<b>Falso (F)</b><br><br><i>Falso. El límite teórico de Shockley-Queisser es de aproximadamente el 33.7% (a Eg approx 1.34 eV) debido a pérdidas por termalización y fotones no absorbidos por debajo del bandgap.</i>
[DIFO] ¿El algoritmo MPPT de Perturbar y Observar (P&O) ajusta periódicamente la tensión de operación observando si la potencia aumenta o disminuye para rastrear el MPP?	<b>Verdadero (V)</b><br><br><i>Verdadero. Algoritmo clásico ampliamente implementado por su sencillez y eficacia.</i>
[DIFO] ¿En el algoritmo MPPT de Conductancia Incremental, el punto de máxima potencia (MPP) se alcanza exactamente cuando la conductancia incremental dI/dV es igual a la conductancia instantánea opuesta -I/V?	<b>Verdadero (V)</b><br><br><i>Verdadero. Deriva de dP/dV = d(V*I)/dV = I + V*(dI/dV) = 0.</i>
[DIFO] Los diodos de bypass conectados en antiparalelo con grupos de células solares agravan el efecto destructivo de puntos calientes (hot-spots) causados por sombras parciales.	<b>Falso (F)</b><br><br><i>Falso. Protegen el módulo puenteando las células sombreadas e impidiendo que queden polarizadas en inversa disipando potencia de las demás células en forma de calor destructivo.</i>
[DIFO] ¿Las células de heterounión de silicio (HJT) combinan obleas de silicio cristalino con capas ultra-delgadas de silicio amorfo intrínseco pasivante para reducir drásticamente la recombinación superficial?	<b>Verdadero (V)</b><br><br><i>Verdadero. Alcanzan altos valores de Voc (> 730 mV) y coeficientes de temperatura muy favorables.</i>
[DIFO] ¿Las células solares en tándem de Perovskita sobre Silicio superan el límite de Shockley-Queisser al absorber fotones de alta energía en la perovskita superior y los de baja en el silicio inferior?	<b>Verdadero (V)</b><br><br><i>Verdadero. Tecnología emergente con eficiencias en laboratorio que superan el 33%.</i>
[DIFO] ¿La reflectividad de la superficie de silicio pulido (aprox. 35%) se reduce a menos del 1% mediante texturizado piramidal químico y recubrimientos antirreflectantes (como nitruro de silicio SiNx)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Maximiza la absorción óptica de fotones incidentes.</i>
[DIFO] ¿La constante solar extraterrestre en el límite superior de la atmósfera terrestre es de aproximadamente 1367 W/m^2?	<b>Verdadero (V)</b><br><br><i>Verdadero. Valor medio de irradiancia solar en el espacio a 1 Unidad Astronómica.</i>
[INT] ¿El modelo en V de ingeniería de sistemas establece que cada fase de definición y descomposición del sistema a la izquierda se corresponde con una fase equivalente de prueba e integración a la derecha?	<b>Verdadero (V)</b><br><br><i>Verdadero. Relaciona requisitos de usuario con aceptación, arquitectura con integración, y diseño de detalle con verificación de componentes.</i>
[INT] ¿El análisis modal de fallos y efectos (FMEA/AMFE) calcula el Número de Prioridad de Riesgo (RPN) como el producto de Severidad x Ocurrencia x Detección?	<b>Verdadero (V)</b><br><br><i>Verdadero. RPN = S * O * D; permite jerarquizar las acciones mitigadoras prioritarias.</i>
[INT] La disponibilidad técnica de un sistema depende únicamente del tiempo medio entre fallos (MTBF) y es independiente del tiempo medio de reparación (MTTR).	<b>Falso (F)</b><br><br><i>Falso. La disponibilidad es A = MTBF / (MTBF + MTTR); reducir el tiempo de diagnóstico y reparación (MTTR) eleva directamente la disponibilidad.</i>
[INT] ¿La matriz de trazabilidad de requisitos garantiza que todos y cada uno de los requisitos del cliente estén vinculados con elementos de diseño arquitectónico y con sus correspondientes casos de prueba de verificación?	<b>Verdadero (V)</b><br><br><i>Verdadero. Asegura la cobertura total del ciclo de desarrollo sin omisiones.</i>
[INT] ¿En un sistema redundante de dos canales en paralelo activo, el sistema falla únicamente si ambos canales fallan simultáneamente?	<b>Verdadero (V)</b><br><br><i>Verdadero. R_paralelo = 1 - (1 - R1)*(1 - R2) > R_individual.</i>
[INT] En un sistema serie de N componentes independientes, la tasa de fallos total del sistema es menor que la tasa de fallos del componente más fiable.	<b>Falso (F)</b><br><br><i>Falso. En un sistema serie las tasas de fallo se suman (lambda_sys = sum(lambda_i)), por lo que la fiabilidad total es siempre inferior a la de cualquiera de sus componentes individuales.</i>
[INT] ¿La simulación Hardware-in-the-Loop (HIL) conecta la unidad de control electrónica real (ECU o placa embebida) a un simulador informático en tiempo real que emula el entorno físico y los actuadores?	<b>Verdadero (V)</b><br><br><i>Verdadero. Permite validar exhaustivamente el firmware ante condiciones límite y fallos sin riesgo de daños físicos.</i>
[INT] ¿El documento de control de interfaz (ICD - Interface Control Document) especifica con precisión los protocolos mecánicos, eléctricos, lógicos y térmicos entre dos subsistemas?	<b>Verdadero (V)</b><br><br><i>Verdadero. Evita incompatibilidades de integración entre equipos de diseño independientes.</i>
[INT] La fase de verificación (Verification) responde a la pregunta '¿Hemos construido el producto correcto según las necesidades del usuario final?'.	<b>Falso (F)</b><br><br><i>Falso. Esa es la Validación (Validation: 'right product'); la Verificación (Verification: 'product right') responde a '¿Hemos construido el producto correctamente conforme a las especificaciones técnicas?'.</i>
[INT] ¿Los ensayos ambientales de choque térmico y vibración senoidal/aleatoria cualifican los equipos electrónicos frente a fatiga estructural previa a su despliegue operativo en campo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Normativas MIL-STD, DO-160, ISO 16750 y CE.</i>
[INT] ¿La curva de la bañera (bathtub curve) describe tres periodos de tasa de fallos de un equipo: mortalidad infantil decreciente, vida útil con tasa de fallos constante, y desgaste por envejecimiento creciente?	<b>Verdadero (V)</b><br><br><i>Verdadero. Modelo clásico de ingeniería de fiabilidad.</i>
[INT] ¿La integración continua de hardware (Hardware CI) automatiza el flasheo de firmware y la ejecución de tests unitarios y de integración nocturnos en bancos de prueba reales?	<b>Verdadero (V)</b><br><br><i>Verdadero. Detecta regresiones de firmware y hardware con gran celeridad.</i>
[INT] ¿El Trabajo de Fin de Grado (TFG) sintetiza de forma integral las competencias científicas, tecnológicas, metodológicas y comunicativas adquiridas a lo largo de todo el grado en ingeniería?	<b>Verdadero (V)</b><br><br><i>Verdadero. Culminación académica oficial acreditada por la UPC y la ETSETB.</i>
